Player,3PA,3P
Terrence Ross,225,81
Terry Rozier,334,140
Theo Maledon,164,61
Tim Hardaway Jr.,319,125
Timothe Luwawu-Cabarrot,168,58
Tobias Harris,151,62
Tomas Satoransky,61,25
Tony Snell,83,47
Trae Young,290,104
Trey Burke,118,45
Ty Jerome,63,28
Tyler Herro,200,64
Tyler Johnson,85,32
Tyrese Haliburton,204,89
Tyrese Maxey,59,17
Tyus Jones,98,28
Victor Oladipo,222,74
Wayne Ellington,202,86
Wesley Matthews,125,43
Will Barton,193,73
Zach LaVine,348,152
